Feature,Importance
srv_serror_rate,0.025321237183451348
flag,0.025251177294993613
serror_rate,0.02523493082031778
service,0.02514263611956128
rerror_rate,0.025140301389854257
num_shells,0.02504892260597466
num_file_creations,0.02504077294176631
is_guest_login,0.02494902334667033
urgent,0.024947142474924654
srv_diff_host_rate,0.02493658367616368
dst_host_count,0.024843675690298554
dst_bytes,0.02481806569865067
dst_host_srv_rerror_rate,0.024787580544440812
dst_host_srv_diff_host_rate,0.024731874111292372
diff_srv_rate,0.02469688753970572
hot,0.024646325694713696
count,0.02455834193393103
root_shell,0.024549434660024554
num_outbound_cmds,0.02452410472271295
protocol_type,0.024479433406364156
num_compromised,0.024405335219707967
is_host_login,0.024363276697668468
dst_host_srv_serror_rate,0.024337395758501083
dst_host_rerror_rate,0.024313129226415455
land,0.02418685675901343
dst_host_srv_count,0.02418610305202245
duration,0.024060969215930293
num_access_files,0.02404593764975057
num_failed_logins,0.024041777072918685
dst_host_serror_rate,0.024031289342404095
src_bytes,0.023952810122869494
num_root,0.023872558448735943
dst_host_same_src_port_rate,0.023849738368184686
dst_host_diff_srv_rate,0.02384813311159956
wrong_fragment,0.023791399683819322
dst_host_same_srv_rate,0.023784182215269966
su_attempted,0.023758691945720126
logged_in,0.02362345916801031
srv_rerror_rate,0.023485652672432092
srv_count,0.023447084184339037
same_srv_rate,0.022965768228874587
